ticker,name,description,target_entry,target_exit
ELVA,Electrovaya Inc. - Common Shares,Other,,
EMBC,Embecta Corp. - Common Stock,Other,,
EMPD,Empery Digital Inc. - Common stock,Other,,
ENGN,enGene Therapeutics Inc. - Common Stock,Other,,
ENGS,Energys Group Limited - Ordinary Shares,Other,,
ENTA,"Enanta Pharmaceuticals, Inc. - Common Stock",Other,,
ENTX,Entera Bio Ltd. - Ordinary Shares,Other,,
ENVX,Enovix Corporation - Common Stock,Other,,
EOLS,"Evolus, Inc. - Common Stock",Other,,
EOSE,"Eos Energy Enterprises, Inc. - Common Stock",Other,,
EPRX,Eupraxia Pharmaceuticals Inc. - Common Stock,Other,,
ERII,"Energy Recovery, Inc. - Common Stock",Other,,
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",Other,,
EU,enCore Energy Corp. - Common Stock,Other,,
EVER,"EverQuote, Inc. - Class A Common Stock",Other,,
EVGO,EVgo Inc. - Common Stock,Other,,
EVLV,"Evolv Technologies Holdings, Inc. - Class A Common Stock",Other,,
EXFY,"Expensify, Inc. - Class A Common Stock",Other,,
EYE,"National Vision Holdings, Inc. - Common Stock",Other,,
EYPT,"EyePoint, Inc. - Common Stock",Other,,
EZPW,"EZCORP, Inc. - Class A Non-Voting Common Stock",Other,,
FAC,Factorial Energy Inc. - Class A Common Stock,Other,,
FATE,"Fate Therapeutics, Inc. - Common Stock",Other,,
FATN,"FatPipe, Inc. - common stock",Other,,
FBIO,"Fortress Biotech, Inc. - Common Stock",Other,,
FDUS,Fidus Investment Corporation - Closed End Fund,Other,,
FENC,Fennec Pharmaceuticals Inc. - Common Stock,Other,,
FHTX,Foghorn Therapeutics Inc. - Common Stock,Other,,
FIP,FTAI Infrastructure Inc. - Common Stock,Other,,
FLNC,"Fluence Energy, Inc. - Class A Common Stock",Other,,
FLWS,"1-800-FLOWERS.COM, Inc. - Class A Common Stock",Other,,
FLYW,Flywire Corporation - Voting Common Stock,Other,,
FLZH,"Flash Sports & Media Holdings, Inc. - Common Stock",Other,,
FMNB,Farmers National Banc Corp. - Common Stock,Other,,
FNKO,"Funko, Inc. - Class A Common Stock",Other,,
FOSL,"Fossil Group, Inc. - Common Stock",Other,,
FOXF,Fox Factory Holding Corp. - Common Stock,Other,,
FRMM,"Forum Markets, Incorporated - Common Stock",Other,,
FRNM,"Freenome, Inc. - Common stock",Other,,
FRST,Primis Financial Corp. - Common Stock,Other,,
FSUN,FirstSun Capital Bancorp - Common Stock,Other,,
FTRE,Fortrea Holdings Inc. - Common Stock,Other,,
FUFU,BitFuFu Inc. - Class A Ordinary Shares,Other,,
FULC,"Fulcrum Therapeutics, Inc. - Common Stock",Other,,
FVCB,"FVCBankcorp, Inc. - Common Stock",Other,,
FWDI,"Forward Industries, Inc. - Common Stock",Other,,
FWRD,Forward Air Corporation - Common Stock,Other,,
FWRG,"First Watch Restaurant Group, Inc. - Common Stock",Other,,
FXHO,UTime Limited - Class A Ordinary Shares,Other,,
GAIN,Gladstone Investment Corporation - Business Development Company,Other,,
GALT,Galectin Therapeutics Inc. - Common Stock,Other,,
GANX,"Gain Therapeutics, Inc. - Common Stock",Other,,
GCMG,GCM Grosvenor Inc. - Class A Common Stock,Other,,
GCT,GigaCloud Technology Inc - Class A Ordinary Shares,Other,,
GDRX,"GoodRx Holdings, Inc. - Class A Common Stock",Other,,
GDYN,"Grid Dynamics Holdings, Inc. - Class A Common Stock",Other,,
GEMI,"Gemini Space Station, Inc. - Class A Common Stock",Other,,
GENB,"Generate Biomedicines, Inc. - Common Stock",Other,,
GERN,Geron Corporation - Common Stock,Other,,
GEVO,"Gevo, Inc. - Common Stock",Other,,
GFUZ,General Fusion Group Ltd. - Common Shares,Other,,
GHRS,GH Research PLC - Ordinary Shares,Other,,
GIII,"G-III Apparel Group, LTD. - Common Stock",Other,,
GILT,Gilat Satellite Networks Ltd. - Ordinary Shares,Other,,
GLIBK,Liberty Capital Corporation - Series C GCI Group Common Stock,Other,,
GLND,Greenland Energy Company - Common Stock,Other,,
GLOO,"Gloo Holdings, Inc. - Common Stock",Other,,
GLUE,"Monte Rosa Therapeutics, Inc. - Common Stock",Other,,
GO,Grocery Outlet Holding Corp. - Common Stock,Other,,
GOAI,Eva Live Inc. - Common Stock,Other,,
GOGO,Gogo Inc. - Common Stock,Other,,
GOOD,Gladstone Commercial Corporation - Real Estate Investment Trust,Other,,
GPRE,"Green Plains, Inc. - Common Stock",Other,,
GPRO,"GoPro, Inc. - Class A Common Stock",Other,,
GRRR,Gorilla Technology Group Inc. - Ordinary shares,Other,,
GRSD,Grandstand Limited - Ordinary Shares,Other,,
GSIT,"GSI Technology, Inc. - Common Stock",Other,,
GSM,Ferroglobe PLC - Ordinary Shares,Other,,
GT,The Goodyear Tire & Rubber Company - Common Stock,Other,,
GTM,ZoomInfo Technologies Inc. - Common Stock,Other,,
GUTS,"Fractyl Health, Inc. - Common Stock",Other,,
HAFC,Hanmi Financial Corporation - Common Stock,Other,,
HBNC,"Horizon Bancorp, Inc. - Common Stock",Other,,
HCAT,"Health Catalyst, Inc - Common stock",Other,,
HCHL,Happy City Holdings Limited - Class A Ordinary shares,Other,,
HCKT,"The Hackett Group, Inc. - Common Stock",Other,,
HCSG,"Healthcare Services Group, Inc. - Common Stock",Other,,
HDSN,"Hudson Technologies, Inc. - Common Stock",Other,,
HELE,Helen of Troy Limited - Common Stock,Other,,
HELP,Cybin Inc. - Common Stock,Other,,
HFFG,HF Foods Group Inc. - Common Stock,Other,,
HFWA,Heritage Financial Corporation - Common Stock,Other,,
HITI,High Tide Inc. - Common Shares,Other,,
HLIT,Harmonic Inc. - Common Stock,Other,,
HLMN,Hillman Solutions Corp. - Common Stock,Other,,
HLP,Hongli Group Inc. - Class A Ordinary Shares,Other,,
HMH,HMH Holding Inc. - Common Stock,Other,,
HMR,Heidmar Maritime Holdings Corp. - Common Stock,Other,,
HNRG,Hallador Energy Company - Common Stock,Other,,
HODO,House of Doge Inc. - Common Stock,Other,,
HOPE,"Hope Bancorp, Inc. - Common Stock",Other,,
HOVR,New Horizon Aircraft Ltd. - Class A Ordinary Shares,Other,,
HPK,"HighPeak Energy, Inc. - Common Stock",Other,,
HQ,Horizon Quantum Holdings Ltd. - Class A Ordinary Shares,Other,,
HROW,"Harrow, Inc. - Common Stock",Other,,
HRTX,"Heron Therapeutics, Inc.   - Common Stock",Other,,
HRZN,Horizon Technology Finance Corporation - Common Stock,Other,,
HSDT,Solana Company - Class A Common Stock,Other,,
HSTM,"HealthStream, Inc. - Common Stock",Other,,
HTLD,"Heartland Express, Inc. - Common Stock",Other,,
HTZ,"Hertz Global Holdings, Inc - Common Stock",Other,,
HURA,"TuHURA Biosciences, Inc. - Common Stock",Other,,
HYFT,MindWalk Holdings Corp. - Common Stock,Other,,
HYMC,Hycroft Mining Holding Corporation - Class A Common Stock,Other,,
HYPR,"Hyperfine, Inc.  - Class A Common Stock",Other,,
IART,Integra LifeSciences Holdings Corporation - Common Stock,Other,,
IBIO,"iBio, Inc. - Common Stock",Other,,
IDN,"Intellicheck, Inc. - Common Stock",Other,,
IFRX,InflaRx N.V. - Common Stock,Other,,
IHRT,"iHeartMedia, Inc. - Class A Common Stock",Other,,
III,"Information Services Group, Inc. - Common Stock",Other,,
IIIV,"i3 Verticals, Inc. - Common Stock",Other,,
IKT,"Inhibikase Therapeutics, Inc. - Common Stock",Other,,
ILPT,Industrial Logistics Properties Trust - Common Shares of Beneficial Interest,Other,,
IMDX,Insight Molecular Diagnostics Inc. - Common Stock,Other,,
IMMR,Immersion Corporation - Common Stock,Other,,
IMMX,"Immix Biopharma, Inc. - Common Stock",Other,,
